id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
262394,Charming Studio with Roof Terrace,1376607,Martin,,Zuid,52.35695,4.85234,Private room,,3,113,2019-10-07,0.78,1,0,0,0363 B86D 98DE 3A24 8790
286500,"Centre, canal view with private bathroom",1491565,David,,Centrum-West,52.37561,4.9,Private room,148,3,373,2024-03-07,2.53,2,188,23,0363 DF01 FBC0 496B 9730
283170,5-bedrooms house; central location,1451657,Marco,,Zuid,52.35435,4.87316,Entire home/apt,950,2,124,2023-10-08,0.85,1,0,6,0363 0240 34A0 48C3 6D81
290701,"Central, big window, rear room with private bath.",1491565,David,,Centrum-West,52.37561,4.9,Private room,138,3,448,2024-03-03,3.05,2,220,42,0363 DF01 FBC0 496B 9730
304082,Private+quiet studio in the heart of town+balcony!,276068,Mirre,,Centrum-West,52.37239,4.89657,Private room,142,3,294,2024-02-23,2.02,1,241,69,0363 6C40 7413 ADD3 9AF8
291752,Cozy & large bohemian style room,1511330,Ton,,Oud-Oost,52.35179,4.91082,Private room,125,3,253,2023-11-18,1.70,1,274,21,0363 6ACC BA1B 12A9 60C1
2818,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,82,3,367,2024-02-07,2.02,1,0,46,0363 5F3A 5684 6750 D14D
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38761,4.89188,Private room,155,3,268,2024-03-04,1.81,1,14,20,0363 974D 4986 7411 88D8
304143,Unique Beautiful Houseboat (ship) in Center,1565319,Dick,,Oud-Oost,52.3623,4.92028,Entire home/apt,,28,50,2020-03-07,0.34,1,0,0,0363AF9644094CEBCE6B
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,79,2,585,2024-03-11,3.54,2,0,107,0363 607B EA74 0BD8 2F6F
29051,Comfortable single room,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,59,2,712,2024-03-09,4.50,2,103,91,0363 607B EA74 0BD8 2F6F
306852,"SunShine, A Sunny Amsterdam Center Special",1141485,Gisèle And Simon,,Centrum-Oost,52.35931,4.89844,Entire home/apt,200,4,32,2023-04-01,0.23,3,0,1,0363 33C3 B936 3911 FC42
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,,Centrum-Oost,52.37168,4.91471,Entire home/apt,,3,43,2022-08-20,0.26,1,0,0,0363 E76E F06A C1DD 172C
307497,Historical sailing ship Amsterdam,176944339,Dion,,Westerpark,52.39185,4.8869,Entire home/apt,1257,2,102,2024-02-04,0.73,1,154,5,Exempt
48373,Cozy family home in Amsterdam South,220434,Vesna & Misha,,Buitenveldert - Zuidas,52.327807756778164,4.87680005722526,Entire home/apt,258,3,2,2023-11-07,0.25,1,25,2,0363 4A2B A6AD 0196 F684
307621,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,,Centrum-Oost,52.35871,4.89616,Entire home/apt,155,3,6,2023-03-27,0.05,3,0,3,0363 33C3 B936 3911 FC42
308028,"SunFlower, A Sunny B&B",1141485,Gisèle And Simon,,Centrum-Oost,52.35972,4.8975,Private room,100,3,36,2023-02-28,0.30,3,0,0,0363 33C3 B936 3911 FC42
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,321,3,521,2024-02-16,3.20,1,153,60,0363 576A D827 5085 6B83
311124,*historic centre* *bright* *canal view* *jordaan*,1600010,Anke & Robert,,Centrum-West,52.37104,4.87713,Entire home/apt,325,5,91,2023-10-14,0.63,1,342,4,0363 59D8 7D30 6CFA DC81
50263,Cent Adam de Lux 2 bedrooms (4p) apt 125 sqm,230246,Donald,,Centrum-Oost,52.37118,4.93146,Entire home/apt,450,2,159,2023-05-29,0.97,1,73,7,0363 7F3D 0BAE 28C8 C7D2
327285,beautiful designed ap.+bikes+garden,1672823,Ester,,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,221,3,644,2024-03-10,4.41,1,41,82,0363 8A88 B129 62B5 BD4E
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,,Bos en Lommer,52.37559,4.83857,Entire home/apt,120,5,13,2024-02-27,0.11,1,43,1,0363 5DDB E495 A6D5 CEC6
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36811,4.88262,Private room,136,2,449,2024-02-19,2.80,1,192,64,0363 22DC 0E52 B70B 0FB8
