id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.53471,13.4181,Entire home/apt,105,63,148,2023-05-25,0.81,1,272,0,"First name and Last name: Nicolas Krotz <br/> Contact address: bouchestr. , 12435, berlin, berlin <br/>Listing address: Bouchestr. , 12435, Berlin , Germany "
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.53269,13.41805,Entire home/apt,180,6,7,2020-01-04,0.06,1,32,0,03/Z/RA/003410-18
14325,Studio Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54813,13.40366,Entire home/apt,70,150,26,2023-11-30,0.15,4,185,1,
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50312,13.43508,Entire home/apt,90,93,48,2017-12-14,0.28,2,0,0,
17904,Beautiful Kreuzberg studio - 3 months minimum,68997,Matthias,Neukölln,Reuterstraße,52.49419,13.42166,Entire home/apt,25,92,299,2022-12-01,1.71,1,1,0,
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.53711,13.40888,Entire home/apt,213,3,130,2024-06-02,0.91,1,127,20,03/Z/RA/006926-22
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5046,13.43374,Entire home/apt,70,93,60,2016-06-05,0.36,2,30,0,
22438,WOHNUNG IN BERLIN ★ MITTE,86159,Javier,Mitte,Brunnenstr. Süd,52.53408,13.38871,Entire home/apt,53,93,182,2023-07-31,1.13,1,66,1,
22677,"""Prenzel Garten"" mit Terrasse",87357,Ramfis,Mitte,Brunnenstr. Süd,52.53355,13.40476,Entire home/apt,170,2,507,2024-06-02,3.04,1,180,77,01/Z/NA/004976-16
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49134,13.37975,Entire home/apt,,185,98,2019-08-31,0.57,1,285,0,
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54804,13.40349,Entire home/apt,70,150,34,2022-02-06,0.21,4,173,0,
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54367,13.42431,Entire home/apt,120,92,81,2023-12-07,0.48,3,251,2,
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54596,13.42291,Entire home/apt,127,4,438,2024-06-04,2.61,4,250,47,"First name and Last name: Michele Fossi  (michelefossi@gmail.com) <br/> Contact address: Kastanienallee 10, DG rechts , 10435, Berlin, Germany <br/>Listing address: Ahlbeckerstr. 11A, VdH Rechts - Gewerbeeinheit, 10437, Berlin, Berlin"
