id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26057,Home in Copenhagen · ★4.91 · 4 bedrooms · 4 beds · 1.5 baths,109777,Kari,,Indre By,55.69307,12.57649,Entire home/apt,2900,5,59,2022-08-09,0.49,1,353,0,
26473,Townhouse in Copenhagen · ★4.55 · 6 bedrooms · 5 beds · 2 baths,112210,Julia,,Indre By,55.67602,12.5754,Entire home/apt,3350,3,338,2023-09-03,2.14,8,132,36,
29118,Rental unit in Copenhagen · ★4.85 · 1 bedroom · 1 bed · 1 bath,125230,Nana,,Vesterbro-Kongens Enghave,55.67023,12.55504,Entire home/apt,725,7,26,2023-07-18,0.16,1,37,2,
31094,Condo in Copenhagen · ★4.88 · 4 bedrooms · 2 beds · 1.5 baths,129976,Ebbe,,Vesterbro-Kongens Enghave,55.66660169999999,12.5552831,Entire home/apt,1954,3,19,2022-08-22,0.12,1,0,0,
113508,Rental unit in Frederiksberg · ★4.96 · 2 bedrooms · 2 beds · 1 bath,577366,Ronnie,,Frederiksberg,55.67757,12.55608,Entire home/apt,3536,2,50,2023-09-11,0.35,1,270,26,
32379,Rental unit in Copenhagen · ★4.91 · 2 bedrooms · 3 beds · 2 baths,140105,Lise,,Vesterbro-Kongens Enghave,55.672638,12.552493,Entire home/apt,1863,3,84,2023-08-10,0.53,2,0,4,
118649,Rental unit in Copenhagen · ★4.73 · 4 bedrooms · 4 beds · 2 baths,599145,Iben Ammentorp,,Indre By,55.68313,12.56225,Entire home/apt,3353,2,52,2023-07-23,0.35,1,0,2,
32841,Rental unit in Copenhagen · ★4.57 · 2 bedrooms · 2 beds · 1 bath,142143,Anders & Maria,,sterbro,55.71176,12.57091,Entire home/apt,619,100,7,2016-09-15,0.04,1,276,0,
118971,Rental unit in Copenhagen · ★4.67 · 2 bedrooms · 2 beds · 1 bath,600859,Jonas,,Nrrebro,55.69134,12.55701,Entire home/apt,1800,1,30,2023-08-04,0.20,1,358,2,
37159,Rental unit in Copenhagen · ★5.0 · 3 bedrooms · 3 beds · 1 bath,160390,Jeanette,,Indre By,55.68547,12.56543,Entire home/apt,2660,5,11,2017-08-22,0.07,1,266,0,
119322,Rental unit in Copenhagen · ★4.75 · 2 bedrooms · 6 beds · 1 bath,602647,Michael,,Nrrebro,55.68828,12.56401,Entire home/apt,1341,3,14,2019-11-25,0.09,1,297,0,
38499,Rental unit in Copenhagen · ★4.90 · 2 bedrooms · 2 beds · 1 bath,122489,Christina,,Indre By,55.684288024902344,12.573019027709961,Entire home/apt,2000,2,24,2023-09-11,0.15,1,0,9,
130253,Rental unit in Copenhagen · ★4.80 · 1 bedroom · 2 beds · 1 bath,641583,Mathilde,,sterbro,55.70673,12.58533,Private room,1750,1,22,2014-09-30,0.15,2,365,0,
65902,Condo in Copenhagen · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,322300,Sjelle,,Nrrebro,55.7071,12.55386,Private room,470,2,111,2023-09-18,0.74,1,38,14,
69440,Rental unit in Frederiksberg · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,194944,Anne,,Frederiksberg,55.68493,12.53434,Private room,427,4,67,2023-06-09,0.44,1,0,10,
135777,Rental unit in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,665428,Sofie,,Nrrebro,55.69223,12.54212,Entire home/apt,745,5,6,2016-02-15,0.04,1,0,0,
71168,Condo in Frederiksberg · ★4.86 · 2 bedrooms · 2 beds · 1.5 baths,141625,Pernille & Frederik,,Frederiksberg,55.677886335175465,12.549401083844085,Entire home/apt,1700,4,14,2023-08-13,0.11,1,14,4,
112292,Rental unit in Frederiksberg · ★4.82 · 4 bedrooms · 5 beds · 1 bath,573172,Christoffer,,Frederiksberg,55.68068,12.54581,Entire home/apt,1677,6,38,2023-08-01,0.26,1,41,4,
143230,Rental unit in Copenhagen · ★4.90 · 3 bedrooms · 3 beds · 1 bath,695079,Ilang & Marika,,Indre By,55.67367,12.59132,Entire home/apt,2678,2,111,2023-09-18,0.80,1,53,11,
504051,Rental unit in Copenhagen · ★4.97 · 1 bedroom · 2 beds · 1 bath,2458414,Mikkel,,Indre By,55.67637,12.5869,Entire home/apt,1182,1,31,2016-10-09,0.23,1,0,0,
154529,Rental unit in Frederiksberg · ★4.92 · 1 bedroom · 1 bed · 1 bath,743327,Cecilie,,Frederiksberg,55.68701,12.53348,Entire home/apt,894,6,14,2023-09-14,0.22,1,344,4,
504223,Rental unit in Copenhagen · ★4.93 · 1 bedroom · 3 beds · 1 bath,1885053,Nanna,,Amager Vest,55.66524887084961,12.577133178710938,Entire home/apt,1300,4,16,2023-07-15,0.12,1,134,2,
157093,Rental unit in Copenhagen · ★4.78 · 4 bedrooms · 4 beds · 1 bath,754626,Sigrid,,Nrrebro,55.68962665100372,12.542766134475796,Entire home/apt,1596,5,37,2023-08-09,0.33,1,32,1,
507911,Rental unit in København Ø · ★4.90 · 2 bedrooms · 3 beds · 1 bath,119548,Ove,,Indre By,55.69291,12.57089,Entire home/apt,1300,6,66,2023-08-31,0.49,1,124,5,
171546,Condo in Copenhagen · ★4.81 · 1 bedroom · 1 bed · 1 bath,818458,Ditte,,Vesterbro-Kongens Enghave,55.67013,12.54954,Entire home/apt,756,5,63,2021-12-22,0.55,1,0,0,
176963,Rental unit in Copenhagen · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,846204,Vogelkop,,Vesterbro-Kongens Enghave,55.66777,12.54844,Private room,486,1,523,2023-09-09,3.55,6,172,67,
513116,Rental unit in Copenhagen · ★4.92 · 2 bedrooms · 3 beds · 1.5 baths,2527577,Fridda,,Amager Vest,55.66505,12.58187,Entire home/apt,1200,3,39,2023-07-25,0.32,1,0,3,
177321,Rental unit in Copenhagen · ★4.92 · 1 bedroom · 1 bed · 1 bath,150042,Natashja,,Nrrebro,55.70001,12.54819,Entire home/apt,1295,5,71,2019-09-12,0.48,2,0,0,
514666,Rental unit in Copenhagen · ★4.53 · 2 bedrooms · 2 beds · 1 bath,2535149,Niels,,sterbro,55.70274,12.58152,Entire home/apt,1629,2,125,2023-08-14,0.92,1,205,8,
516039,Rental unit in Frederiksberg · ★4.61 · 2 bedrooms · 5 beds · 1 bath,2541479,Betina,,Frederiksberg,55.69516,12.52948,Entire home/apt,599,2,23,2021-10-17,0.18,1,190,0,
517272,Condo in Copenhagen · ★4.93 · 3 bedrooms · 3 beds · 1 bath,2546236,Pia & Jakob,,sterbro,55.70253,12.5789,Entire home/apt,1200,5,42,2023-08-05,0.34,1,35,5,
186454,Rental unit in Copenhagen · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,896083,Cathrine,,Vesterbro-Kongens Enghave,55.67154,12.54638,Private room,425,1,230,2023-09-17,1.56,1,140,26,
194022,Loft in Copenhagen · ★4.79 · 2 bedrooms · 2 beds · 1 bath,941790,Morten,,Nrrebro,55.68998,12.56223,Entire home/apt,2100,3,182,2023-09-11,1.24,1,329,22,
519333,Rental unit in Copenhagen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,2555736,Lena Weber,,Indre By,55.66952,12.58035,Entire home/apt,1075,2,36,2023-08-07,0.27,1,8,11,
206861,Rental unit in Copenhagen · ★4.92 · 1 bedroom · 2 beds · 1 bath,999404,Sidsel,,Nrrebro,55.69403,12.56543,Entire home/apt,1050,3,65,2023-07-31,0.45,1,0,5,
521617,Condo in Copenhagen  · ★4.91 · 4 bedrooms · 4 beds · 1 bath,2484983,Signe,,sterbro,55.70868,12.57317,Entire home/apt,1350,4,117,2022-07-30,0.86,1,0,0,
214839,Condo in Copenhagen · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,1109269,Brenda,,Nrrebro,55.69852,12.54774,Private room,725,2,5,2022-08-20,0.04,2,235,0,
521856,Rental unit in Copenhagen · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,2566577,Cecilia,,Vesterbro-Kongens Enghave,55.66791,12.55117,Private room,443,3,293,2023-09-12,2.16,1,314,26,
523775,Rental unit in Copenhagen · ★4.77 · 1 bedroom · 1 bed · 1 bath,2575202,Lalou,,Nrrebro,55.69253,12.55971,Entire home/apt,800,4,23,2023-08-14,0.17,1,6,5,
