id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6499,Belém 1 Bedroom Historical Apartment,14455,Bruno,Lisboa,Belm,38.6975,-9.19768,Entire home/apt,84,4,76,2024-08-20,0.62,1,252,15,
25659,Heart of Alfama - Le cœur d'Alfama (3 people),107347,Ellie,Lisboa,Santa Maria Maior,38.71241,-9.12706,Entire home/apt,96,2,213,2024-09-13,1.68,1,270,19,56539/AL.
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71156,-9.12987,Entire home/apt,78,2,401,2024-09-06,2.67,1,295,22,28737/AL
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.71108,-9.15979,Entire home/apt,1032,2,133,2024-09-01,0.80,1,263,24,55695/AL
29915,Modern and Spacious Apartment in Lisboa,128890,Sara,Lisboa,Avenidas Novas,38.74571,-9.15264,Entire home/apt,100,6,61,2024-05-20,0.35,1,92,5,85851/AL.
33348,Happy Season,144484,Bruno,Lisboa,Lumiar,38.76427,-9.15301,Private room,40,1,2,2011-07-22,0.01,1,198,0,
42519,Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,136230,David,Lisboa,Misericrdia,38.71062,-9.149,Entire home/apt,90,1,199,2024-07-16,1.26,7,286,23,81551/AL
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71195,-9.14463,Entire home/apt,95,7,44,2024-08-16,0.27,8,261,11,66950/AL
48854,3BR in historical Sintra chalet,222551,Dagmar,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.8038,-9.3797,Entire home/apt,,5,48,2024-07-01,0.43,1,0,2,7884/AL
50108,Duplex do Pipas,229376,Pipas,Lisboa,Estrela,38.70388,-9.16546,Entire home/apt,120,2,30,2019-11-05,0.19,2,0,0,
76132,Romantic & Renewed 1 bedroom Apartment @ Campolide,405842,Augusto,Lisboa,Campolide,38.72727,-9.16273,Entire home/apt,88,3,45,2024-06-26,0.61,8,323,14,78247/AL
83700,Cascais panoramic view space swimming pool 4 p,456477,Claudio,Cascais,Cascais e Estoril,38.70018,-9.43272,Entire home/apt,89,3,271,2024-09-05,1.66,1,323,33,2729/AL
83933,Charming flat with terrace in Graça,335614,Sebastien,Lisboa,So Vicente,38.72092115283526,-9.128046411596074,Entire home/apt,85,2,299,2024-09-03,1.88,1,124,24,60551/AL
84599,"LV Premier Baixa PR1- Elevator, Balcony, AC, View",181902,Jose Luz,Lisboa,Santa Maria Maior,38.7106,-9.13689,Entire home/apt,334,1,91,2024-07-04,0.61,19,295,8,8954/AL
85105,Quarto com Graça a 5 min metro intendente,462741,Mafalda,Lisboa,Santa Maria Maior,38.71784,-9.13492,Private room,65,3,53,2024-08-25,2.77,1,164,25,
89015,Lisbon Cottage - Principe Real,485573,Justo,Lisboa,Misericrdia,38.71299,-9.15004,Entire home/apt,162,3,96,2024-08-14,0.60,1,340,23,88834/AL
91282,Lovely apartment in Estrela,133304,Maria,Lisboa,Campo de Ourique,38.71879,-9.15853,Entire home/apt,100,15,13,2024-06-30,0.45,1,209,5,5478/AL
95212,BIG 3 BD CHARM&LIGHT #greenstreet,502806,Kathia,Lisboa,Misericrdia,38.70901,-9.15158,Entire home/apt,105,3,78,2023-05-29,0.53,1,82,0,
97503,Lovely equipped flat in city centre,515924,Joel,Lisboa,Santo Antnio,38.72129,-9.1422,Private room,55,7,42,2024-07-30,0.26,13,100,1,
103252,BALCONY · Vila Berta,538753,André & Cristina,Lisboa,So Vicente,38.71838,-9.129015,Entire home/apt,119,2,167,2024-09-10,1.68,10,309,33,89565/AL
107159,Noite a bordo  barco Yatch Astinor,554343,José,Lisboa,Estrela,38.70065,-9.17491,Private room,360,1,0,,,1,365,0,
112497,Ocean View from The Sunny Flat,574017,Mateus,Cascais,Cascais e Estoril,38.69744,-9.4391,Entire home/apt,171,4,40,2024-08-09,0.25,1,262,8,
119120,Lapa 2Bdr with City and River Views,387186,Nuno,Lisboa,Estrela,38.70927,-9.16122,Entire home/apt,125,3,365,2024-08-25,2.29,4,53,33,6820/AL
122572,A confortable room in a nice place,614156,Isabel,Lisboa,So Domingos de Benfica,38.75643,-9.177,Private room,,1,0,,,1,0,0,
122998,Casa do Jardim,615634,Rita,Lisboa,Misericrdia,38.7127,-9.15215,Entire home/apt,96,4,104,2024-09-10,0.65,1,120,23,24263/AL
125835,Rent quarter,624965,Vanessa,Vila Franca De Xira,Vila Franca de Xira,38.95722,-9.00264,Private room,,1,0,,,1,0,0,
125848,Historical Alfama-Pantheon Charming 1 bed flat,624278,Isabelle,Lisboa,So Vicente,38.71478,-9.1241,Entire home/apt,69,3,156,2024-08-28,1.04,6,323,15,82014/AL
129786,House in Bairro Alto,626177,Maria Do Carmo,Lisboa,Misericrdia,38.70853,-9.14613,Entire home/apt,111,30,3,2011-08-30,0.02,1,303,0,
130708,Private Room in City Center,643374,Jesse James,Lisboa,Arroios,38.71806,-9.13738,Private room,57,3,239,2024-07-04,1.50,2,324,17,
133645,A pleasure in Lisbon,656138,Juan,Lisboa,Santa Maria Maior,38.71091,-9.13251,Entire home/apt,95,2,458,2024-09-13,2.87,2,326,62,AL/6125
135261,Lisbon City Center 2 Bedroom Apt,663233,Leo,Lisboa,Misericrdia,38.71298,-9.14541,Entire home/apt,166,2,346,2024-08-27,2.16,2,298,54,20021/AL
137054,A pleasure in Lisbon 2,656138,Juan,Lisboa,Santa Maria Maior,38.71236,-9.13129,Entire home/apt,95,2,363,2024-09-14,2.31,2,327,51,AL/6167
137461,Atalaia apartment,218778,José,Lisboa,Misericrdia,38.71413,-9.14425,Entire home/apt,95,5,21,2024-08-15,0.14,8,319,7,
138542,Dear Home ★ In the Heart of Lisbon,676330,Margarida,Lisboa,Santo Antnio,38.71821,-9.15398,Entire home/apt,156,4,72,2024-08-21,2.07,6,159,26,
138929,Regueira street Apartm 88 4floor Alfama - 28599/AL,677938,Diogo And Maria,Lisboa,Santa Maria Maior,38.71231,-9.12918,Entire home/apt,105,3,552,2024-09-12,3.44,1,275,56,28599/AL
140080,Apartments in Lisbon city center 1º,682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,195,365,30,2022-07-25,0.19,5,365,0,2691/AL
141883,Gomes Freire Studio with Balcony,688914,Luis,Cascais,Cascais e Estoril,38.6961,-9.42215,Entire home/apt,156,1,58,2024-07-16,0.39,30,230,7,10955/AL
144851,MyPlaceLisbon - Bairro Alto Apartment,701650,MyPlaceLisbon,Lisboa,Misericrdia,38.71261,-9.14456,Entire home/apt,103,2,119,2024-09-10,0.75,8,188,9,10977/AL
148344,Casa do Celeiro (architect/artist house),716185,Mary,Sintra,Colares,38.78666,-9.46231,Entire home/apt,195,7,66,2024-08-25,0.45,1,284,6,34367
149274,"Sunny 1BR - Av. D. Carlos I, Lisbon",676330,Margarida,Lisboa,Misericrdia,38.70996,-9.15206,Entire home/apt,,4,155,2023-10-29,1.04,6,0,4,
149589,Refuge at the Heart of the Castle!,721565,Ana,Lisboa,Santa Maria Maior,38.71331,-9.13314,Entire home/apt,103,1,336,2024-08-24,2.17,3,132,66,31903/AL
155865,Great apartment in Lisbon!,749485,Ricardo,Lisboa,Alcntara,38.70546,-9.17579,Entire home/apt,85,2,237,2024-08-21,1.48,1,335,29,Registration Number: 12807/AL
161268,DPJ Romantic Jardim apt - LIFT! - Pr.REAL B. ALTO!,1554338,Sofia,Lisboa,Santo Antnio,38.71563,-9.1457,Entire home/apt,137,3,355,2024-09-11,2.31,1,345,36,149/AL
172455,Sunny apartment in the Heart of Lisbon,822877,Joao,Lisboa,Santa Maria Maior,38.71344,-9.13509,Entire home/apt,122,4,235,2024-05-14,1.49,2,70,8,45286/AL
172638,Duplex at old typical Lisbon - Alfama,823780,André,Lisboa,Santa Maria Maior,38.71112823486328,-9.129698753356934,Entire home/apt,99,3,549,2024-08-30,3.43,3,308,58,59682/AL
174529,LISBON GREAT VIEW!,833952,Filipe,Lisboa,So Vicente,38.71769,-9.13331,Entire home/apt,111,4,119,2024-08-27,0.78,1,345,16,14058/AL
176153,The White House - Historical Center,842219,Inês & António,Lisboa,Misericrdia,38.70781,-9.1451,Entire home/apt,193,1,855,2024-09-06,5.36,2,250,40,
178515,Meet Lisboa on your foot,753902,Bruno,Lisboa,Santa Maria Maior,38.71133,-9.13093,Entire home/apt,90,3,248,2024-08-11,2.02,5,246,30,35038/AL
178524,Duplex central Apt with river view,753902,Bruno,Lisboa,Santa Maria Maior,38.70916,-9.13222,Entire home/apt,99,4,364,2024-08-31,2.29,5,171,43,86946/AL
