id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43817,12.32739,Entire home/apt,290,5,185,2023-10-12,1.03,1,320,2,
27116,Junior Suite with balcony overlooking canal,116144,Giò&Giò,Isole,San Marco,45.43277,12.33456,Private room,390,1,414,2022-11-11,2.41,3,51,0,
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44569,12.32902,Entire home/apt,420,3,142,2024-06-30,0.87,2,343,22,M0270422294
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43921,12.3331,Hotel room,167,2,399,2024-07-26,2.35,4,299,28,
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43593,12.32521,Entire home/apt,289,2,145,2020-01-18,0.93,2,96,0,
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,164,3,124,2024-07-26,0.86,2,267,15,Z00521
60020,Bed and Breakfast Venice.it,288785,Nicola,Isole,Cannaregio,45.44229,12.3304,Hotel room,300,2,68,2024-04-01,0.41,2,365,1,
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44453,12.333,Private room,204,1,160,2023-05-06,1.00,2,21,0,
61714,B&B AL CANAL VENICE blue room canal view air cond,289023,Francesca,Isole,Giudecca,45.42708,12.31823,Private room,116,2,443,2024-07-22,2.69,2,224,38,
63267,Appartamento con splendida vista sulla Laguna,308732,Cristina,Isole,Castello,45.43886,12.3499,Entire home/apt,90,3,11,2020-01-03,0.14,1,1,0,
69877,Central room with garden's view,351965,Ca' Turelli,Isole,Dorsoduro,45.43218,12.32572,Private room,150,2,6,2017-05-11,0.04,3,230,0,
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.43367,12.33639,Entire home/apt,176,3,195,2024-08-26,1.21,4,250,49,
71874,rooms in Venice,369642,Valter,Isole,Santa Croce,45.442102837243205,12.326463046383541,Private room,101,1,120,2024-08-26,0.81,2,282,28,
72740,Eco Venice 1,377929,Attilio,Terraferma,Favaro,45.50793,12.28336,Entire home/apt,96,3,415,2024-09-03,2.56,5,118,41,027042-BEB-00469
72821,Yacht Sarah Venezia  (with Option to Sail Away!),376806,Orlando,Isole,Sacca Fisola,45.42811,12.31702,Private room,,1,50,2022-10-13,0.31,1,0,0,
74042,Venice Luca's House,9609304,Luca,Isole,Castello,45.43369,12.35051,Entire home/apt,199,3,527,2024-08-17,3.27,3,43,7,
74272,Ca' Annalaura 2 CIR 027042-LOC-06865,390175,Monica,Isole,Castello,45.43331,12.35038,Entire home/apt,116,3,345,2024-08-27,2.12,2,296,31,M0270428488
75376,Saint Mark apartment  in  Venice,399883,Monica,Isole,San Marco,45.43517,12.33554,Entire home/apt,203,3,204,2024-08-20,1.30,4,308,24,IT027042C2ASCXYP2A
75994,San Bortolomio Apartment - Close Ice Cream Suso,399883,Monica,Isole,San Marco,45.43746,12.337,Entire home/apt,178,3,171,2024-06-25,1.08,4,322,26,IT027042C2B4V69NTJ
77188,Ca' Annalaura 1  CIR 027042-LOC-05180,390175,Monica,Isole,Castello,45.43300234450528,12.348828735234395,Entire home/apt,130,3,372,2024-08-07,2.33,2,250,24,M0270428487
77598,Ca' Gioiosa,416351,Italo,Isole,Dorsoduro,45.43088,12.3199,Entire home/apt,,2,90,2024-01-01,0.60,2,332,4,
80403,Elegant apartment with privatgarden,434492,Lucia,Isole,Dorsoduro,45.4342,12.31943,Entire home/apt,150,3,60,2024-06-17,0.37,1,217,10,
83610,Venice biennale,434231,Magda,Isole,Castello,45.43442,12.34854,Entire home/apt,126,7,8,2023-10-08,0.06,1,219,1,
92159,B&B. AL CANAL VENICE  green room garden view,289023,Francesca,Isole,Giudecca,45.42703,12.31827,Private room,107,2,434,2024-07-28,2.70,2,222,35,
95980,elegant residence behind St. Mark's Square,510349,Roberta,Isole,San Marco,45.43316,12.3353,Entire home/apt,186,2,291,2024-07-27,1.81,3,96,18,
99238,Ca' Risorta  ♡ Your romantic retreat,419326,Federica,Isole,Cannaregio,45.44478,12.32861,Entire home/apt,,1,91,2022-05-30,0.94,1,0,0,M0270422495
129278,Villa with terrace in Venice Lido,485439,Elisabetta,Isole,Lido,45.40782,12.36728,Entire home/apt,1257,14,8,2021-08-17,0.05,1,247,0,
130605,Sweet dreams,642936,Maria,Isole,Santa Croce,45.44008478520303,12.322226455906147,Private room,99,3,425,2024-08-26,2.68,2,252,49,
137304,"""BOUDOIR"" IN10 MINUTES FROM VENICE",671512,Zoia,Terraferma,Piave 1860,45.48706,12.24687,Private room,83,1,131,2022-10-24,0.88,1,88,0,
139786,Ca' Grassi 2 Charming Apt with Balcony,669047,Views On Venice,Isole,San Marco,45.4349,12.32989,Entire home/apt,244,1,52,2024-07-31,0.34,81,307,13,027042-LOC-08737
139802,Ca' Grassi 1 Apartment for 4 Guests,669047,Views On Venice,Isole,San Marco,45.43524,12.32987,Entire home/apt,279,1,67,2024-06-27,0.48,81,283,5,027042-LOC-08736
140197,Nido D'Amore- Zona PONTE DI RIALTO-,683035,Paola,Isole,Cannaregio,45.43976,12.336,Entire home/apt,163,2,1023,2024-09-03,6.38,1,194,68,CODICE IDENTIFICATIVO: M0270421099
142085,Widmann apartment in Venice centre,1878243,Elisabetta,Isole,Cannaregio,45.44242,12.33955,Entire home/apt,134,5,470,2024-08-15,2.95,3,36,47,M0270429613
145631,[Venice Room 10 min by Tram] Free Parking & Wifi,704911,Alessandra,Terraferma,Villaggio San Marco,45.4832,12.2586,Private room,179,1,695,2024-08-15,4.33,2,184,57,
146821,Ca' dell' Ambasciatore Venezia,709828,Roberto,Isole,Castello,45.43101,12.35369,Entire home/apt,473,3,164,2024-08-30,1.13,2,195,18,M0270429577
148299,ARABESQUE- DAMASCO 4 PERSONS,716234,Paola,Isole,Castello,45.4362,12.34389,Hotel room,158,2,48,2024-08-11,0.31,3,9,10,
149749,"Venice, newly restored unit-apartm.",722130,Maddalena,Isole,Cannaregio,45.44087,12.34119,Entire home/apt,85,1,296,2024-06-19,1.88,1,64,1,
155015,nice and cozy open space apartment,745553,Rosanna E Francesca,Isole,Santa Croce,45.44085,12.32833,Entire home/apt,218,3,380,2024-08-21,2.42,4,270,43,
156728,Regina d'Oriente,745553,Rosanna E Francesca,Isole,Santa Croce,45.44019,12.33174,Entire home/apt,218,3,280,2024-08-18,1.82,4,268,34,L736;VE;11;1294;3
160426,Bright apartment in Venice with canal view,766256,Laura,Isole,Dorsoduro,45.4341,12.3211,Entire home/apt,232,3,413,2024-08-16,2.58,2,301,47,M02704212329
163685,Ca'Falcao - Air-conditioning & Wifi,781124,Nicolò,Isole,Cannaregio,45.44375,12.32555,Entire home/apt,147,3,439,2024-08-18,3.02,2,236,44,CIN: IT027042C2B95QBGWL  CIR: 027042-LOC-00947 - M0270422118
165705,ARABESQUE DJERBA 1 PERS.IN VENICE,716234,Paola,Isole,Castello,45.43548,12.34241,Hotel room,,2,220,2024-08-07,1.38,3,2,24,
166381,Ca' Barba B&B: room n101,214390,Alessandro,Isole,San Polo,45.43821,12.3328,Hotel room,160,2,439,2024-08-17,3.45,4,295,41,
167145,Special apartment for loving people,796717,Nicola,Isole,San Marco,45.43528,12.33741,Entire home/apt,220,2,198,2024-08-11,1.25,1,2,9,C0270420414
